[000500/100000]	Cells: 0  Coverage: 0.00000000%		Max Fitness: -Infinity	Mean Fitness: NaN	Min Fitness: Infinity	QD Score: 0.00000000
[025500/100000]	Cells: 113  Coverage: 0.04310608%		Max Fitness: 0.06908930	Mean Fitness: 0.05714785	Min Fitness: 0.04866357	QD Score: 6.45770756
[026000/100000]	Cells: 114  Coverage: 0.04348755%		Max Fitness: 0.06908930	Mean Fitness: 0.05722811	Min Fitness: 0.04866357	QD Score: 6.52400453
[026500/100000]	Cells: 115  Coverage: 0.04386902%		Max Fitness: 0.06908930	Mean Fitness: 0.05720249	Min Fitness: 0.04866357	QD Score: 6.57828644
[027000/100000]	Cells: 117  Coverage: 0.04463196%		Max Fitness: 0.06908930	Mean Fitness: 0.05721188	Min Fitness: 0.04866357	QD Score: 6.69378978
[027500/100000]	Cells: 120  Coverage: 0.04577637%		Max Fitness: 0.06908930	Mean Fitness: 0.05709059	Min Fitness: 0.04866357	QD Score: 6.85087045
[028000/100000]	Cells: 120  Coverage: 0.04577637%		Max Fitness: 0.06908930	Mean Fitness: 0.05709059	Min Fitness: 0.04866357	QD Score: 6.85087045
[028500/100000]	Cells: 121  Coverage: 0.04615784%		Max Fitness: 0.06908930	Mean Fitness: 0.05714583	Min Fitness: 0.04866357	QD Score: 6.91464562
[029000/100000]	Cells: 122  Coverage: 0.04653931%		Max Fitness: 0.06908930	Mean Fitness: 0.05711966	Min Fitness: 0.04866357	QD Score: 6.96859859
[029500/100000]	Cells: 122  Coverage: 0.04653931%		Max Fitness: 0.06908930	Mean Fitness: 0.05713040	Min Fitness: 0.04866357	QD Score: 6.96990885
[030000/100000]	Cells: 125  Coverage: 0.04768372%		Max Fitness: 0.06908930	Mean Fitness: 0.05712931	Min Fitness: 0.04866357	QD Score: 7.14116392
[030500/100000]	Cells: 125  Coverage: 0.04768372%		Max Fitness: 0.06908930	Mean Fitness: 0.05712931	Min Fitness: 0.04866357	QD Score: 7.14116392
[031000/100000]	Cells: 127  Coverage: 0.04844666%		Max Fitness: 0.06908930	Mean Fitness: 0.05716288	Min Fitness: 0.04866357	QD Score: 7.25968515
[031500/100000]	Cells: 131  Coverage: 0.04997253%		Max Fitness: 0.06908930	Mean Fitness: 0.05704726	Min Fitness: 0.04866357	QD Score: 7.47319103
[032000/100000]	Cells: 132  Coverage: 0.05035400%		Max Fitness: 0.06908930	Mean Fitness: 0.05700408	Min Fitness: 0.04866357	QD Score: 7.52453920
[032500/100000]	Cells: 132  Coverage: 0.05035400%		Max Fitness: 0.06908930	Mean Fitness: 0.05706018	Min Fitness: 0.04866357	QD Score: 7.53194388
[033000/100000]	Cells: 136  Coverage: 0.05187988%		Max Fitness: 0.06908930	Mean Fitness: 0.05685382	Min Fitness: 0.04866357	QD Score: 7.73212018
[033500/100000]	Cells: 138  Coverage: 0.05264282%		Max Fitness: 0.06908930	Mean Fitness: 0.05683195	Min Fitness: 0.04866357	QD Score: 7.84280944
[034000/100000]	Cells: 140  Coverage: 0.05340576%		Max Fitness: 0.06908930	Mean Fitness: 0.05685361	Min Fitness: 0.04866357	QD Score: 7.95950571
[034500/100000]	Cells: 140  Coverage: 0.05340576%		Max Fitness: 0.06908930	Mean Fitness: 0.05685361	Min Fitness: 0.04866357	QD Score: 7.95950571
[035000/100000]	Cells: 142  Coverage: 0.05416870%		Max Fitness: 0.06908930	Mean Fitness: 0.05690106	Min Fitness: 0.04866357	QD Score: 8.07995007
[035500/100000]	Cells: 144  Coverage: 0.05493164%		Max Fitness: 0.06908930	Mean Fitness: 0.05688313	Min Fitness: 0.04866357	QD Score: 8.19117036
[036000/100000]	Cells: 144  Coverage: 0.05493164%		Max Fitness: 0.06908930	Mean Fitness: 0.05688313	Min Fitness: 0.04866357	QD Score: 8.19117036
[036500/100000]	Cells: 144  Coverage: 0.05493164%		Max Fitness: 0.06908930	Mean Fitness: 0.05688313	Min Fitness: 0.04866357	QD Score: 8.19117036
[037000/100000]	Cells: 146  Coverage: 0.05569458%		Max Fitness: 0.06908930	Mean Fitness: 0.05684878	Min Fitness: 0.04866357	QD Score: 8.29992228
[037500/100000]	Cells: 148  Coverage: 0.05645752%		Max Fitness: 0.06908930	Mean Fitness: 0.05687782	Min Fitness: 0.04866357	QD Score: 8.41791727
[038000/100000]	Cells: 151  Coverage: 0.05760193%		Max Fitness: 0.06908930	Mean Fitness: 0.05693650	Min Fitness: 0.04866357	QD Score: 8.59741080
[038500/100000]	Cells: 151  Coverage: 0.05760193%		Max Fitness: 0.06908930	Mean Fitness: 0.05693650	Min Fitness: 0.04866357	QD Score: 8.59741080
[039000/100000]	Cells: 151  Coverage: 0.05760193%		Max Fitness: 0.06908930	Mean Fitness: 0.05693650	Min Fitness: 0.04866357	QD Score: 8.59741080
[039500/100000]	Cells: 151  Coverage: 0.05760193%		Max Fitness: 0.06908930	Mean Fitness: 0.05693650	Min Fitness: 0.04866357	QD Score: 8.59741080
[040000/100000]	Cells: 152  Coverage: 0.05798340%		Max Fitness: 0.06908930	Mean Fitness: 0.05690031	Min Fitness: 0.04866357	QD Score: 8.64884764
[040500/100000]	Cells: 154  Coverage: 0.05874634%		Max Fitness: 0.06908930	Mean Fitness: 0.05690586	Min Fitness: 0.04866357	QD Score: 8.76350185
[041000/100000]	Cells: 156  Coverage: 0.05950928%		Max Fitness: 0.06908930	Mean Fitness: 0.05688372	Min Fitness: 0.04866357	QD Score: 8.87386060
[041500/100000]	Cells: 157  Coverage: 0.05989075%		Max Fitness: 0.06908930	Mean Fitness: 0.05687640	Min Fitness: 0.04866357	QD Score: 8.92959498
[042000/100000]	Cells: 157  Coverage: 0.05989075%		Max Fitness: 0.06908930	Mean Fitness: 0.05687640	Min Fitness: 0.04866357	QD Score: 8.92959498
[042500/100000]	Cells: 159  Coverage: 0.06065369%		Max Fitness: 0.06908930	Mean Fitness: 0.05683846	Min Fitness: 0.04866357	QD Score: 9.03731491
[043000/100000]	Cells: 159  Coverage: 0.06065369%		Max Fitness: 0.06908930	Mean Fitness: 0.05685426	Min Fitness: 0.04866357	QD Score: 9.03982707
[043500/100000]	Cells: 161  Coverage: 0.06141663%		Max Fitness: 0.06908930	Mean Fitness: 0.05676969	Min Fitness: 0.04866357	QD Score: 9.13992056
[044000/100000]	Cells: 164  Coverage: 0.06256104%		Max Fitness: 0.06908930	Mean Fitness: 0.05675909	Min Fitness: 0.04866357	QD Score: 9.30849148
[044500/100000]	Cells: 166  Coverage: 0.06332397%		Max Fitness: 0.06908930	Mean Fitness: 0.05675687	Min Fitness: 0.04866357	QD Score: 9.42164042
[045000/100000]	Cells: 167  Coverage: 0.06370544%		Max Fitness: 0.06908930	Mean Fitness: 0.05676992	Min Fitness: 0.04866357	QD Score: 9.48057666
[045500/100000]	Cells: 167  Coverage: 0.06370544%		Max Fitness: 0.06908930	Mean Fitness: 0.05687014	Min Fitness: 0.04866357	QD Score: 9.49731340
[046000/100000]	Cells: 170  Coverage: 0.06484985%		Max Fitness: 0.06908930	Mean Fitness: 0.05688961	Min Fitness: 0.04866357	QD Score: 9.67123381
[046500/100000]	Cells: 174  Coverage: 0.06637573%		Max Fitness: 0.06908930	Mean Fitness: 0.05696135	Min Fitness: 0.04866357	QD Score: 9.91127407
[047000/100000]	Cells: 175  Coverage: 0.06675720%		Max Fitness: 0.06908930	Mean Fitness: 0.05701551	Min Fitness: 0.04866357	QD Score: 9.97771406
[047500/100000]	Cells: 175  Coverage: 0.06675720%		Max Fitness: 0.06908930	Mean Fitness: 0.05704202	Min Fitness: 0.04866357	QD Score: 9.98235267
[048000/100000]	Cells: 176  Coverage: 0.06713867%		Max Fitness: 0.06908930	Mean Fitness: 0.05714187	Min Fitness: 0.04866357	QD Score: 10.05696926
[048500/100000]	Cells: 177  Coverage: 0.06752014%		Max Fitness: 0.06908930	Mean Fitness: 0.05712400	Min Fitness: 0.04866357	QD Score: 10.11094881
[049000/100000]	Cells: 179  Coverage: 0.06828308%		Max Fitness: 0.06908930	Mean Fitness: 0.05711614	Min Fitness: 0.04866357	QD Score: 10.22378845
[049500/100000]	Cells: 181  Coverage: 0.06904602%		Max Fitness: 0.06908930	Mean Fitness: 0.05709572	Min Fitness: 0.04866357	QD Score: 10.33432482
[050000/100000]	Cells: 183  Coverage: 0.06980896%		Max Fitness: 0.06908930	Mean Fitness: 0.05709233	Min Fitness: 0.04866357	QD Score: 10.44789568
[050500/100000]	Cells: 184  Coverage: 0.07019043%		Max Fitness: 0.06908930	Mean Fitness: 0.05709436	Min Fitness: 0.04866357	QD Score: 10.50536253
[051000/100000]	Cells: 186  Coverage: 0.07095337%		Max Fitness: 0.06908930	Mean Fitness: 0.05710101	Min Fitness: 0.04866357	QD Score: 10.62078794
[051500/100000]	Cells: 187  Coverage: 0.07133484%		Max Fitness: 0.06908930	Mean Fitness: 0.05708737	Min Fitness: 0.04866357	QD Score: 10.67533849
[052000/100000]	Cells: 189  Coverage: 0.07209778%		Max Fitness: 0.06908930	Mean Fitness: 0.05704089	Min Fitness: 0.04866357	QD Score: 10.78072875
[052500/100000]	Cells: 190  Coverage: 0.07247925%		Max Fitness: 0.06908930	Mean Fitness: 0.05705619	Min Fitness: 0.04866357	QD Score: 10.84067659
[053000/100000]	Cells: 192  Coverage: 0.07324219%		Max Fitness: 0.06908930	Mean Fitness: 0.05706005	Min Fitness: 0.04866357	QD Score: 10.95552866
[053500/100000]	Cells: 193  Coverage: 0.07362366%		Max Fitness: 0.06908930	Mean Fitness: 0.05707971	Min Fitness: 0.04866357	QD Score: 11.01638468
[054000/100000]	Cells: 193  Coverage: 0.07362366%		Max Fitness: 0.06908930	Mean Fitness: 0.05707971	Min Fitness: 0.04866357	QD Score: 11.01638468
[054500/100000]	Cells: 194  Coverage: 0.07400513%		Max Fitness: 0.06908930	Mean Fitness: 0.05705098	Min Fitness: 0.04866357	QD Score: 11.06789096
[055000/100000]	Cells: 194  Coverage: 0.07400513%		Max Fitness: 0.06908930	Mean Fitness: 0.05708053	Min Fitness: 0.04866357	QD Score: 11.07362370
[055500/100000]	Cells: 194  Coverage: 0.07400513%		Max Fitness: 0.06908930	Mean Fitness: 0.05710553	Min Fitness: 0.04866357	QD Score: 11.07847243
[056000/100000]	Cells: 196  Coverage: 0.07476807%		Max Fitness: 0.06908930	Mean Fitness: 0.05709201	Min Fitness: 0.04866357	QD Score: 11.19003387
[056500/100000]	Cells: 196  Coverage: 0.07476807%		Max Fitness: 0.06908930	Mean Fitness: 0.05709964	Min Fitness: 0.04866357	QD Score: 11.19152871
[057000/100000]	Cells: 196  Coverage: 0.07476807%		Max Fitness: 0.06908930	Mean Fitness: 0.05712729	Min Fitness: 0.04866357	QD Score: 11.19694850
[057500/100000]	Cells: 198  Coverage: 0.07553101%		Max Fitness: 0.06908930	Mean Fitness: 0.05709484	Min Fitness: 0.04866357	QD Score: 11.30477869
[058000/100000]	Cells: 201  Coverage: 0.07667542%		Max Fitness: 0.06908930	Mean Fitness: 0.05709417	Min Fitness: 0.04866357	QD Score: 11.47592778
[058500/100000]	Cells: 202  Coverage: 0.07705688%		Max Fitness: 0.06908930	Mean Fitness: 0.05708522	Min Fitness: 0.04866357	QD Score: 11.53121430
[059000/100000]	Cells: 203  Coverage: 0.07743835%		Max Fitness: 0.06908930	Mean Fitness: 0.05713165	Min Fitness: 0.04866357	QD Score: 11.59772584
[059500/100000]	Cells: 204  Coverage: 0.07781982%		Max Fitness: 0.06908930	Mean Fitness: 0.05715302	Min Fitness: 0.04866357	QD Score: 11.65921631
[060000/100000]	Cells: 206  Coverage: 0.07858276%		Max Fitness: 0.06908930	Mean Fitness: 0.05719008	Min Fitness: 0.04866357	QD Score: 11.78115610
[060500/100000]	Cells: 208  Coverage: 0.07934570%		Max Fitness: 0.06908930	Mean Fitness: 0.05714200	Min Fitness: 0.04866357	QD Score: 11.88553610
[061000/100000]	Cells: 210  Coverage: 0.08010864%		Max Fitness: 0.06908930	Mean Fitness: 0.05710835	Min Fitness: 0.04866357	QD Score: 11.99275260
[061500/100000]	Cells: 211  Coverage: 0.08049011%		Max Fitness: 0.06908930	Mean Fitness: 0.05708302	Min Fitness: 0.04866357	QD Score: 12.04451656
[062000/100000]	Cells: 211  Coverage: 0.08049011%		Max Fitness: 0.06908930	Mean Fitness: 0.05708302	Min Fitness: 0.04866357	QD Score: 12.04451656
[062500/100000]	Cells: 213  Coverage: 0.08125305%		Max Fitness: 0.06908930	Mean Fitness: 0.05710788	Min Fitness: 0.04866357	QD Score: 12.16397903
[063000/100000]	Cells: 213  Coverage: 0.08125305%		Max Fitness: 0.06908930	Mean Fitness: 0.05710788	Min Fitness: 0.04866357	QD Score: 12.16397903
[063500/100000]	Cells: 214  Coverage: 0.08163452%		Max Fitness: 0.06908930	Mean Fitness: 0.05713137	Min Fitness: 0.04866357	QD Score: 12.22611212
[064000/100000]	Cells: 216  Coverage: 0.08239746%		Max Fitness: 0.06908930	Mean Fitness: 0.05711188	Min Fitness: 0.04866357	QD Score: 12.33616606
[064500/100000]	Cells: 219  Coverage: 0.08354187%		Max Fitness: 0.06908930	Mean Fitness: 0.05708958	Min Fitness: 0.04866357	QD Score: 12.50261697
[065000/100000]	Cells: 221  Coverage: 0.08430481%		Max Fitness: 0.06908930	Mean Fitness: 0.05709185	Min Fitness: 0.04866357	QD Score: 12.61729820
[065500/100000]	Cells: 221  Coverage: 0.08430481%		Max Fitness: 0.06908930	Mean Fitness: 0.05710258	Min Fitness: 0.04866357	QD Score: 12.61967059
[066000/100000]	Cells: 224  Coverage: 0.08544922%		Max Fitness: 0.06908930	Mean Fitness: 0.05711543	Min Fitness: 0.04866357	QD Score: 12.79385724
[066500/100000]	Cells: 224  Coverage: 0.08544922%		Max Fitness: 0.06908930	Mean Fitness: 0.05711543	Min Fitness: 0.04866357	QD Score: 12.79385724
[067000/100000]	Cells: 224  Coverage: 0.08544922%		Max Fitness: 0.06908930	Mean Fitness: 0.05711543	Min Fitness: 0.04866357	QD Score: 12.79385724
[067500/100000]	Cells: 227  Coverage: 0.08659363%		Max Fitness: 0.06908930	Mean Fitness: 0.05708244	Min Fitness: 0.04866357	QD Score: 12.95771450
[068000/100000]	Cells: 230  Coverage: 0.08773804%		Max Fitness: 0.06908930	Mean Fitness: 0.05702887	Min Fitness: 0.04866357	QD Score: 13.11664007
[068500/100000]	Cells: 231  Coverage: 0.08811951%		Max Fitness: 0.06908930	Mean Fitness: 0.05701886	Min Fitness: 0.04866357	QD Score: 13.17135767
[069000/100000]	Cells: 231  Coverage: 0.08811951%		Max Fitness: 0.06908930	Mean Fitness: 0.05701886	Min Fitness: 0.04866357	QD Score: 13.17135767
[069500/100000]	Cells: 231  Coverage: 0.08811951%		Max Fitness: 0.06908930	Mean Fitness: 0.05701886	Min Fitness: 0.04866357	QD Score: 13.17135767
[070000/100000]	Cells: 231  Coverage: 0.08811951%		Max Fitness: 0.06908930	Mean Fitness: 0.05705755	Min Fitness: 0.04866357	QD Score: 13.18029459
[070500/100000]	Cells: 233  Coverage: 0.08888245%		Max Fitness: 0.06908930	Mean Fitness: 0.05705443	Min Fitness: 0.04866357	QD Score: 13.29368223
[071000/100000]	Cells: 235  Coverage: 0.08964539%		Max Fitness: 0.06908930	Mean Fitness: 0.05706524	Min Fitness: 0.04866357	QD Score: 13.41033180
[071500/100000]	Cells: 235  Coverage: 0.08964539%		Max Fitness: 0.06908930	Mean Fitness: 0.05709915	Min Fitness: 0.04866357	QD Score: 13.41829969
[072000/100000]	Cells: 236  Coverage: 0.09002686%		Max Fitness: 0.06908930	Mean Fitness: 0.05708443	Min Fitness: 0.04866357	QD Score: 13.47192468
[072500/100000]	Cells: 238  Coverage: 0.09078979%		Max Fitness: 0.06908930	Mean Fitness: 0.05713349	Min Fitness: 0.04866357	QD Score: 13.59776995
[073000/100000]	Cells: 239  Coverage: 0.09117126%		Max Fitness: 0.06908930	Mean Fitness: 0.05711195	Min Fitness: 0.04866357	QD Score: 13.64975678
[073500/100000]	Cells: 240  Coverage: 0.09155273%		Max Fitness: 0.06908930	Mean Fitness: 0.05711280	Min Fitness: 0.04866357	QD Score: 13.70707290
[074000/100000]	Cells: 240  Coverage: 0.09155273%		Max Fitness: 0.06908930	Mean Fitness: 0.05713359	Min Fitness: 0.04866357	QD Score: 13.71206051
[074500/100000]	Cells: 240  Coverage: 0.09155273%		Max Fitness: 0.06908930	Mean Fitness: 0.05713359	Min Fitness: 0.04866357	QD Score: 13.71206051
[075000/100000]	Cells: 241  Coverage: 0.09193420%		Max Fitness: 0.06908930	Mean Fitness: 0.05712106	Min Fitness: 0.04866357	QD Score: 13.76617645
[075500/100000]	Cells: 241  Coverage: 0.09193420%		Max Fitness: 0.06908930	Mean Fitness: 0.05715360	Min Fitness: 0.04866357	QD Score: 13.77401687
[076000/100000]	Cells: 243  Coverage: 0.09269714%		Max Fitness: 0.06908930	Mean Fitness: 0.05716396	Min Fitness: 0.04866357	QD Score: 13.89084323
[076500/100000]	Cells: 246  Coverage: 0.09384155%		Max Fitness: 0.06908930	Mean Fitness: 0.05715318	Min Fitness: 0.04866357	QD Score: 14.05968310
[077000/100000]	Cells: 246  Coverage: 0.09384155%		Max Fitness: 0.06908930	Mean Fitness: 0.05716116	Min Fitness: 0.04866357	QD Score: 14.06164530
[077500/100000]	Cells: 246  Coverage: 0.09384155%		Max Fitness: 0.06908930	Mean Fitness: 0.05717913	Min Fitness: 0.04866357	QD Score: 14.06606689
[078000/100000]	Cells: 246  Coverage: 0.09384155%		Max Fitness: 0.06908930	Mean Fitness: 0.05719088	Min Fitness: 0.04866357	QD Score: 14.06895750
[078500/100000]	Cells: 246  Coverage: 0.09384155%		Max Fitness: 0.06908930	Mean Fitness: 0.05719118	Min Fitness: 0.04866357	QD Score: 14.06902926
[079000/100000]	Cells: 248  Coverage: 0.09460449%		Max Fitness: 0.06908930	Mean Fitness: 0.05720207	Min Fitness: 0.04866357	QD Score: 14.18611370
[079500/100000]	Cells: 249  Coverage: 0.09498596%		Max Fitness: 0.06908930	Mean Fitness: 0.05729109	Min Fitness: 0.04866357	QD Score: 14.26548024
[080000/100000]	Cells: 250  Coverage: 0.09536743%		Max Fitness: 0.06908930	Mean Fitness: 0.05731966	Min Fitness: 0.04866357	QD Score: 14.32991540
[080500/100000]	Cells: 253  Coverage: 0.09651184%		Max Fitness: 0.06908930	Mean Fitness: 0.05727416	Min Fitness: 0.04866357	QD Score: 14.49036142
[081000/100000]	Cells: 257  Coverage: 0.09803772%		Max Fitness: 0.06908930	Mean Fitness: 0.05721736	Min Fitness: 0.04866357	QD Score: 14.70486094
[081500/100000]	Cells: 257  Coverage: 0.09803772%		Max Fitness: 0.06908930	Mean Fitness: 0.05724209	Min Fitness: 0.04866357	QD Score: 14.71121755
[082000/100000]	Cells: 257  Coverage: 0.09803772%		Max Fitness: 0.06908930	Mean Fitness: 0.05724847	Min Fitness: 0.04866357	QD Score: 14.71285565
[082500/100000]	Cells: 260  Coverage: 0.09918213%		Max Fitness: 0.06908930	Mean Fitness: 0.05722275	Min Fitness: 0.04866357	QD Score: 14.87791453
[083000/100000]	Cells: 262  Coverage: 0.09994507%		Max Fitness: 0.06908930	Mean Fitness: 0.05719816	Min Fitness: 0.04866357	QD Score: 14.98591679
[083500/100000]	Cells: 263  Coverage: 0.10032654%		Max Fitness: 0.06908930	Mean Fitness: 0.05720265	Min Fitness: 0.04866357	QD Score: 15.04429796
